Model,Agent,Accuracy,Precision,Recall,F1 Score,Exact Matches,Errors,Success Rate
gemini-2.0-flash,Fundamental,100.00%,100.00%,100.00%,100.00%,17/17,1,17/18
gemini-2.0-flash,Sentiment,100.00%,100.00%,100.00%,100.00%,18/18,0,18/18
gemini-2.0-flash,Valuation,100.00%,100.00%,100.00%,100.00%,18/18,0,18/18
gemini-2.5-pro,Fundamental,94.44%,100.00%,98.04%,99.01%,17/18,0,18/18
gemini-2.5-pro,Sentiment,100.00%,100.00%,100.00%,100.00%,16/16,2,16/18
gemini-2.5-pro,Valuation,100.00%,100.00%,100.00%,100.00%,18/18,0,18/18
gemini-2.0-flash-lite,Fundamental,88.24%,97.92%,97.92%,97.92%,15/17,1,17/18
gemini-2.0-flash-lite,Sentiment,55.56%,100.00%,84.00%,91.30%,10/18,0,18/18
gemini-2.0-flash-lite,Valuation,100.00%,100.00%,100.00%,100.00%,18/18,0,18/18
